"Endpoint","HTTP Method","Service Name","Description","Price (USD)","Category","Tags","Payment Protocol","Supported Networks"
"https://coinrailz.com/x402/ping","POST","Ping/Echo Service","Lowest-cost test endpoint to verify x402 payment flow. Returns platform info and echoes your message. Price: $0.25","$0.25","Discovery","Discovery","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/first-call","POST","x402 Golden Path — First Paid Call","START HERE. The canonical first payment endpoint for any AI agent integrating with Coin Railz. Pay $0.05 USDC on Base or Solana and receive a verified onboarding receipt  payment confirmation  and exe","$0.05","Discovery","Discovery","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/gas-price-oracle","POST","Gas Price Oracle","Real-time gas prices for multiple EVM chains with USD cost estimates. Price: $0.10","$0.10","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/token-metadata","POST","Token Metadata Lookup","Get token name  symbol  decimals  and contract details. Price: $0.10","$0.10","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/dex-liquidity","POST","DEX Liquidity Monitor","Monitor liquidity pools across DEXs for a token pair. Price: $0.20","$0.20","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/approval-manager","POST","Token Approval Manager","Check and prepare token approval transactions. Price: $0.20","$0.20","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/token-price","POST","Token Price Feed","Token pricing with 24h change  volume  market cap from CoinGecko/DEX Screener. Price: $0.25","$0.25","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/token-sentiment","POST","Token Sentiment Analyzer","Social sentiment analysis for tokens with momentum indicators. Price: $0.25","$0.25","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/transaction-builder","POST","Transaction Builder","Build and encode blockchain transactions for any EVM chain. Price: $0.30","$0.30","Execution","Execution","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/whale-alerts","POST","Whale Wallet Alerts","Monitor large wallet movements and whale transactions. Price: $0.35","$0.35","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/batch-quote","POST","Batch Quote Service","Get swap quotes for multiple token pairs in a single request. Price: $0.40","$0.40","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/multi-chain-balance","POST","Multi-Chain Balance Checker","Query wallet balances across 7+ EVM chains in a single API call. Price: $0.50","$0.50","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/trending-tokens","POST","Trending Tokens Feed","Discover trending tokens based on volume  social activity  and price action. Price: $0.50","$0.50","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/portfolio-tracker","POST","Portfolio Tracker","Track and analyze a wallet's portfolio performance. Price: $0.50","$0.50","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/wallet-risk","POST","Wallet Risk Analyzer","Wallet risk analysis with compliance flags and transaction pattern detection. Price: $0.50","$0.50","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/trade-signals","POST","AI Trade Signals","AI-powered crypto trading signals with entry/exit points and risk analysis. Price: $0.75","$0.75","Investment","Investment","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/payment-processing","POST","Payment Processing","Process USDC payments across chains with automatic routing. Price: $0.50","$0.50","Execution","Execution","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/contract-scan","POST","Contract Security Scanner","Smart contract security scan with safety score and vulnerability checks. Price: $1.00","$1.00","Execution","Execution","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/instant-agent-wallet","POST","Instant Agent Wallet","Create a temporary wallet for AI agent operations. Price: $1.00","$1.00","Execution","Execution","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/agent-create-wallet","POST","Agent Wallet Provisioning (CDP)","Create a persistent Coinbase-managed wallet for AI agents via CDP. Price: $2.00","$2.00","Execution","Execution","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/seamless-chain-bridge","POST","Seamless Chain Bridge","Bridge assets between chains with automatic routing. Price: $2.00","$2.00","Execution","Execution","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/verified-agent-identity","POST","Verified Agent Identity","Create a verified on-chain identity for AI agents (ERC-8004). Price: $5.00","$5.00","Premium","Premium","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/compliance-consultation","POST","Compliance Consultation","AI-powered compliance analysis for crypto operations. Price: $5.00","$5.00","Premium","Premium","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/smart-contract-audit","POST","Smart Contract Audit","Comprehensive smart contract security audit with detailed report. Price: $10.00","$10.00","Premium","Premium","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/property-valuation","POST","Property Valuation","AI-powered real estate property valuation. Price: $0.75","$0.75","Real Estate","Real Estate","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/lease-analysis","POST","Lease Analysis","Commercial lease terms analysis and comparison. Price: $1.00","$1.00","Real Estate","Real Estate","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/construction-progress","POST","Construction Progress Tracker","Track and analyze construction project progress. Price: $1.50","$1.50","Real Estate","Real Estate","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/fraud-detection","POST","Fraud Detection","AI-powered fraud detection for financial transactions. Price: $0.75","$0.75","Banking","Banking","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/credit-risk-score","POST","Credit Risk Score","Calculate credit risk score based on on-chain activity. Price: $1.25","$1.25","Banking","Banking","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/compliance-check","POST","Compliance Check","AML/KYC compliance check for wallet addresses. Price: $1.75","$1.75","Banking","Banking","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/sentiment-analysis","POST","Market Sentiment Analysis","Deep sentiment analysis across social and news sources. Price: $0.50","$0.50","Investment","Investment","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/trading-signal","POST","Trading Signal Generator","Generate trading signals based on technical analysis. Price: $1.00","$1.00","Investment","Investment","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/portfolio-optimization","POST","Portfolio Optimization","AI-powered portfolio optimization recommendations. Price: $2.00","$2.00","Investment","Investment","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
